2016-03-12 23:15:19,198	classfying:text:Lockheed delivers fifth MUOS satellite <img src="http://cdnph.upi.com/rss/i/14576324767350/Lockheed-delivers-fifth-MUOS-satellite_t.jpg" />Richard Tomkins<br />CAPE CANAVERAL, Fla., March 10 (UPI) -- The U.S. Navy's Fifth Mobile User Objective System satellite, MUOS-5, is now in Florida in preparation for launch in May.
2016-03-12 23:15:19,199	label:Politics
2016-03-12 23:15:19,231	classfying:text:BAE supplying counter-measure systems for new USAF helicopter <img src="http://cdnph.upi.com/rss/i/14576286935114/BAE-supplying-counter-measure-systems-for-new-USAF-helicopter_t.jpg" />Richard Tomkins<br />NASHUA, N.H., March 10 (UPI) -- Survivability and situational awareness technology are being supplied by BAE Systems for the new U.S. Air Force HH-60W combat rescue helicopter.
2016-03-12 23:15:19,233	label:Technology
2016-03-12 23:15:19,290	classfying:text:Boeing, Paramount developing weaponized surveillance plane <img src="http://cdnph.upi.com/rss/i/14576255292668/Boeing-Paramount-developing-weaponized-surveillance-plane_t.jpg" />Richard Tomkins<br />ABU DHABI, United Arab Emirates, March 10 (UPI) -- Boeing and South Africa's Paramount Group are expanding their cooperation on a light reconnaissance aircraft by developing a strike-mission variant.
2016-03-12 23:15:19,294	label:Business
2016-03-12 23:15:19,331	classfying:text:Airbus continues operating German military satellites <img src="http://cdnph.upi.com/rss/i/14576230033069/Airbus-continues-operating-German-military-satellites_t.jpg" />Richard Tomkins<br />PARIS, March 10 (UPI) -- Airbus Defense and Space is to continue to operate Germany's military communications satellites under a seven-year contract worth $159.3 million.
2016-03-12 23:15:19,334	label:Business
2016-03-12 23:15:19,365	classfying:text:Nikkei rebounds after four-day slide <img src="http://cdnph.upi.com/rss/upi/59a8dad2b09bd0d95ffb8e9a8adf29f9/Nikkei-rebounds-after-four-day-slide_t.jpg" />Shawn Price<br />TOKYO, March 10 (UPI) -- Tokyo stocks came back to life after a four-day slide, buoyed by rising oil prices, a softer yen and the possibility of new stimulus by the ECB.
2016-03-12 23:15:19,368	label:Business
2016-03-12 23:15:19,406	classfying:text:Lockheed Martin plans voluntary layoffs for 1,000 <img src="http://cdnph.upi.com/rss/upi_com/f85c622f49f08ada0fd54482ee6dc933/Lockheed-Martin-plans-voluntary-layoffs-for-1000_t.jpg" />Ed Adamczyk<br />BETHESDA, Md., March 9 (UPI) -- Lockheed Martin Corp. announced a 1,000-job voluntary layoff program to reduce employment in its Aeronautics Division.
2016-03-12 23:15:19,411	label:Business
2016-03-12 23:15:19,448	classfying:text:Sikorsky given $387 million Army contract for Black Hawk helicopters <img src="http://cdnph.upi.com/rss/i/14575346857928/Sikorsky-given-387-million-Army-contract-for-Black-Hawk-helicopters_t.jpg" />Andrew V. Pestano<br />STRATFORD, Conn., March 9 (UPI) -- Sikorsky Aircraft has been awarded a $387 million contract to manufacture 35 UH-60M Black Hawk helicopters for the U.S. Army.
2016-03-12 23:15:19,453	label:Business
2016-03-12 23:15:19,490	classfying:text:Dollar slips along with Nikkei in Tokyo <img src="http://cdnph.upi.com/rss/upi/6eb1eea8a6287678cf8d5d9fc00f1bf6/Dollar-slips-along-with-Nikkei-in-Tokyo_t.jpg" />Shawn Price<br />TOKYO, March 9 (UPI) -- The dollar slipped against the Yen on Wednesday in Tokyo, dragging the Nikkei with it as investors sought safety among falling global stocks.
2016-03-12 23:15:19,496	label:Business
2016-03-12 23:15:19,531	classfying:text:Navy exercises $270M option for more SM-6 missiles <img src="http://cdnph.upi.com/rss/i/14574730527190/Navy-exercises-270M-option-for-more-SM-6-missiles_t.jpg" />Richard Tomkins<br />TUCSON, March 8 (UPI) -- The U.S. Navy has exercised a $270 million contract option with Raytheon for production of Standard-6 missiles and spares requirements.
2016-03-12 23:15:19,533	label:Business
2016-03-12 23:15:19,565	classfying:text:Defense Industry center opens in South Australia Richard Tomkins<br />ADELAIDE, Australia, March 8 (UPI) -- Australia is opening a new Center for Defense Industry Capability to foster and drive innovation and promote defense exports.
2016-03-12 23:15:19,566	label:Business
2016-03-12 23:15:19,598	classfying:text:Norway seeks collaborative development for new submarine <img src="http://cdnph.upi.com/rss/i/14574643956752/Norway-seeks-collaborative-development-for-new-submarine_t.jpg" />Richard Tomkins<br />OSLO, Norway, March 8 (UPI) -- Norway is seeking to collaborate with other countries to develop and build a new submarine, the Norwegian Ministry of Defense said.
2016-03-12 23:15:19,602	label:Business
